ingredient,fdc_id,description,Protein,Total lipid (fat),"Fatty acids, total saturated",Cholesterol,"Carbohydrate, by difference","Sodium, Na","Fiber, total dietary","Sugars, added","Vitamin A, RAE","Vitamin C, total ascorbic acid","Calcium, Ca","Iron, Fe",Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, DFE",Vitamin B-12,Biotin,Pantothenic acid,"Phosphorus, P","Iodine, I","Magnesium, Mg","Zinc, Zn","Selenium, Se","Copper, Cu","Manganese, Mn","Chromium, Cr","Molybdenum, Mo","Chloride, Cl","Potassium, K","Choline, total"
cashew,2515374,"Nuts, cashew nuts, raw",34.88,49.82,0.0,0.0,13.2,0.21,14.66,0.0,0,0.0,3.23,33.27,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,42.58,0,59.67,46.1,0,246.44,84.74,0,0,0,13.58,0.0
cauliflower,2685573,"Cauliflower, raw",3.28,0.3,0.0,0.0,1.72,0.87,6.96,0.0,0,74.56,1.57,1.85,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,3.18,0,3.38,2.13,0,2.69,6.13,0,0,0,5.84,0.0
caviar,174188,"Fish, caviar, black and red, granular",49.2,22.95,20.3,196.0,1.45,65.22,0.0,0.0,0,0.0,21.15,66.0,0,12.6,0,15.83,47.69,0.75,18.82,0,0,0,70.0,28.48,0,71.43,8.64,0,12.22,2.17,0,0,0,3.85,89.25
celery,2346405,"Celery, raw",0.98,0.21,0.0,0.0,1.21,4.23,0.0,0.0,0,0.0,3.56,0.0,0,0.0,0,0.0,0.0,0.0,3.04,0,0,0,0.0,1.73,0,2.6,0.84,0,0.0,3.3,0,0,0,5.64,0.0
chambord,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
champagne,2710687,"Wine, sparkling",0.14,0.0,0.0,0.0,0.84,0.22,0.0,0.0,0,0.0,0.69,1.67,0,0.0,0,0.33,1.08,0.66,2.59,0,0,0,0.0,1.36,0,2.38,1.0,0,0.56,0.0,0,0,0,1.57,0.8
chard,169991,"Chard, swiss, raw",3.6,0.26,0.15,0.0,1.36,9.26,5.71,0.0,0,33.33,3.92,10.0,0,12.6,0,3.33,6.92,2.5,5.82,0,0,0,3.44,3.68,0,19.29,3.27,0,19.89,15.91,0,0,0,8.06,3.27
chartreuse,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
cheddar,170899,"Cheese, cheddar, sharp, sliced",48.5,43.36,96.84,33.0,0.77,28.0,0.0,0.0,0,0.0,54.69,0.89,0,5.2,0,2.25,33.38,0.24,4.41,0,0,0,9.62,36.8,0,6.43,34.0,0,3.89,1.04,0,0,0,1.62,3.0
cheese,2705704,"Cheese, NFS",41.4,40.13,89.0,31.67,1.57,41.91,0.0,0.0,0,0.0,65.31,2.17,0,5.2,0,2.42,30.69,0.53,4.53,0,0,0,0.0,42.56,0,6.67,28.64,0,3.44,0.0,0,0,0,2.74,3.8
cherry,2346399,"Cherries, sweet, dark red, raw",2.08,0.25,0.0,0.0,5.88,0.0,0.0,0.0,0,11.54,0.94,0.59,0,0.0,0,0.0,0.0,0.0,2.88,0,0,0,0.0,1.86,0,2.88,0.59,0,7.69,3.19,0,0,0,4.89,0.0
chestnut,170164,"Nuts, chestnuts, chinese, raw",8.4,1.42,0.82,0.0,17.84,0.13,0.0,0.0,0,40.0,1.38,7.83,0,0.0,0,13.33,13.85,5.0,24.12,0,0,0,11.1,7.68,0,20.0,7.91,0,40.33,69.61,0,0,0,9.51,0.0
chicken,2646170,"Chicken, breast, boneless, skinless, raw",45.05,2.48,1.74,24.24,0.0,2.86,0.0,0.0,0,0.0,0.3,1.97,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,17.19,0,6.24,5.95,0,0.4,0.0,0,0,0,7.02,0.0
chickpea,173756,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",40.94,7.74,3.02,0.0,22.89,1.04,43.57,0.0,0,4.44,4.38,23.94,0,5.47,0,39.75,16.31,9.63,31.47,0,0,0,31.76,20.16,0,18.81,25.09,0,72.89,180.43,0,0,0,15.28,18.05
chile,168570,"Peppers, hot chile, sun-dried",21.16,7.45,4.06,0.0,25.4,3.96,102.5,0.0,0,34.89,3.46,33.56,0,20.93,0,6.75,92.69,54.18,47.65,0,0,0,19.12,12.72,0,20.95,9.27,0,25.33,35.7,0,0,0,39.79,15.33
